name,description,url,last_month_installs,this_month_installs,installs_m_m_growth,last_month_multiple
Red Hat Enterprise Linux 8.4 with High Availability,"The Red Hat Enterprise Linux with High Availability image is the foundation to a clustered system that provides reliability, scalability, and availability to critical production services. A cluster is two or more instances (called nodes or members) that work together to perform a task.",https://aws.amazon.com/marketplace/pp/B098856RXG?qid=1714077095152&sr=0-71&ref_=srh_res_product_title,1,610,609,610.0
Red Hat Enterprise Linux (RHEL) 7.2 (HVM),"Amazon EC2 running Red Hat Enterprise Linux provides a dependable platform to deploy a broad range of applications. By running RHEL on EC2, you can leverage the cost effectiveness, scalability and flexibility of Amazon EC2, the proven reliability of Red Hat Enterprise Linux, and AWS premium support with back-line support from Red Hat. Amazon EC2 running Red Hat Enterprise Linux provides seamless integration with existing Amazon EC2 features including Amazon Elastic Block Store (EBS), Amazon CloudWatch, Elastic-Load Balancing, and Elastic IPs. Includes access to Red Hat Insights, which provides proactive management and remediation guidance for RHEL 7.2 instances.",https://aws.amazon.com/marketplace/pp/B019NS7T5I?qid=1714077141790&sr=0-111&ref_=srh_res_product_title,1,610,609,610.0
Red Hat Enterprise Linux (RHEL) 7 (HVM),"Amazon EC2 running Red Hat Enterprise Linux provides a dependable platform to deploy a broad range of applications. By running RHEL on EC2, you can leverage the cost effectiveness, scalability and flexibility of Amazon EC2, the proven reliability of Red Hat Enterprise Linux, and AWS premium support with back-line support from Red Hat. Amazon EC2 running Red Hat Enterprise Linux provides seamless integration with existing Amazon EC2 features including Amazon Elastic Block Store (EBS), Amazon CloudWatch, Elastic-Load Balancing, and Elastic IPs. Includes access to Red Hat Insights, which provides proactive management and remediation guidance for RHEL 7 instances.",https://aws.amazon.com/marketplace/pp/B00KWBZVK6?qid=1714077159027&sr=0-181&ref_=srh_res_product_title,2,611,609,305.5
Red Hat Enterprise Linux (RHEL) 7 (HVM),"Amazon EC2 running Red Hat Enterprise Linux provides a dependable platform to deploy a broad range of applications. By running RHEL on EC2, you can leverage the cost effectiveness, scalability and flexibility of Amazon EC2, the proven reliability of Red Hat Enterprise Linux, and AWS premium support with back-line support from Red Hat. Amazon EC2 running Red Hat Enterprise Linux provides seamless integration with existing Amazon EC2 features including Amazon Elastic Block Store (EBS), Amazon CloudWatch, Elastic-Load Balancing, and Elastic IPs.",https://aws.amazon.com/marketplace/pp/B07Z5GM7W6?qid=1714076889920&sr=0-41&ref_=srh_res_product_title,2,609,607,304.5
CloudBeaver AWS,CloudBeaver is a new universal interface for data management developed by the DBeaver team. CloudBeaver is especially adapted for AWS Cloud services. This is the light web-application that you can share among all AWS users within your company.,https://aws.amazon.com/marketplace/pp/B08QTY2JTF?qid=1714077542952&sr=0-963&ref_=srh_res_product_title,1,129,128,129.0
CloudBeaver Community,"EC2-instance for the CloudBeaver open-source version. CloudBeaver Community supports all main relational databases like: PostgreSQL, MySQL, Oracle, SQL Server, Firebird and other. It provides powerful SQL-editor and data editor for data management.",https://aws.amazon.com/marketplace/pp/B09G4N23DT?qid=1714077931188&sr=0-2187&ref_=srh_res_product_title,1,129,128,129.0
SAP BusinessObjects 5 Named Users - STANDARD,"SAP BusinessObjects AMI includes a full suite of business intelligence products in the Cloud. With cloud-based solutions, businesses are discovering that they can run better faster. They don't need to order servers or have a team of programmers and database administrators. More importantly, they don't need a big budget.",https://aws.amazon.com/marketplace/pp/B00CB2IZWU?qid=1714077887358&sr=0-1938&ref_=srh_res_product_title,2,223,221,111.5
Splunk SOAR,"Splunk SOAR provides security orchestration, automation and response capabilities that allow security analysts to work smarter by automating repetitive tasks; respond to security incidents faster with automated alert triage, investigation, and response; increase productivity, efficiency and accuracy; and strengthen defenses by connecting and coordinating complex workflows across their team and tools. Splunk SOAR also supports a broad range of security operations center (SOC) functions including event and case management, integrated threat intelligence, collaboration tools and reporting. Splunk SOAR's flexible app model supports 350+ integrations and 2800+ APIs.",https://aws.amazon.com/marketplace/pp/B07K2HPNJG?qid=1714077150700&sr=0-146&ref_=srh_res_product_title,11,401,390,36.5
Red Hat Enterprise Linux for SAP with HA and Update Services 8.2,"Built on the Red Hat Enterprise Linux operating system (OS), Red Hat Enterprise Linux for SAP expands existing capabilities so you can get the most out of SAP's powerful analytics and data management portfolio. Red Hat Enterprise Linux High Availability (HA) provides all the necessary packages for configuring pacemaker based cluster that provides reliability and availability for critical production services. Extended Update Support (E4S) provides support on specific minor releases for 4 years from General Availability. Red Hat Insights can now be deployed for users with existing, cloud marketplace-purchased Red Hat Enterprise Linux (RHEL) system managed by Red Hat Update Infrastructure (RHUI).",https://aws.amazon.com/marketplace/pp/B08DJDW1FM?qid=1714077148004&sr=0-136&ref_=srh_res_product_title,38,609,571,16.0
Red Hat Enterprise Linux for SAP with HA and Update Services 8.4,"Built on the Red Hat Enterprise Linux operating system (OS), Red Hat Enterprise Linux for SAP expands existing capabilities so you can get the most out of SAP's powerful analytics and data management portfolio. Red Hat Enterprise Linux High Availability (HA) provides all the necessary packages for configuring pacemaker based cluster that provides reliability and availability for critical production services. Extended Update Support (E4S) provides support on specific minor releases for 4 years from General Availability. Red Hat Insights can now be deployed for users with existing, cloud marketplace-purchased Red Hat Enterprise Linux (RHEL) system managed by Red Hat Update Infrastructure (RHUI).",https://aws.amazon.com/marketplace/pp/B09VCT1KQN?qid=1714077182338&sr=0-235&ref_=srh_res_product_title,38,609,571,16.0
