name,url,last_month_installs,this_month_installs,installs_m_m_growth,last_month_multiple
VMware Tanzu Greenplum (BYOL),https://azuremarketplace.microsoft.com/en-us/marketplace/apps/pivotal.pivotal-greenplum-azure-byol?exp=ubp8&tab=Overview,1,27,26,27.0
Prefect 1,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/prefecttechnologiesinc1606247647944.prefect_cloud?exp=ubp8&tab=Overview,7,121,114,17.3
CData API Server,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/cdatasoftware.cdataapiserver?exp=ubp8&tab=Overview,2,16,14,8.0
Volody Contract Management Software,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/volodyproductspltd1610011615564.volody_clm?exp=ubp8&tab=Overview,1,8,7,8.0
Skylight Analytics,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/accediannetworks1624483188184.ms_skylight_analytics?exp=ubp8&tab=Overview,1,7,6,7.0
City Graph,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/siemens-advanta.citygraph?exp=ubp8&tab=Overview,2,13,11,6.5
Palantir Foundry,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/palantirtechnologies1585670280063.palantir_foundry?exp=ubp8&tab=Overview,2,13,11,6.5
Getron Services,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/getron_bilisim_hizmetleri.getron_advisor?exp=ubp8&tab=Overview,2,10,8,5.0
Neural Designer,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/artificial-intelligence-techniques-sl.neural-designer-cloud?exp=ubp8&tab=Overview,1,5,4,5.0
dotnet Report Builder,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/dotreportinc1647318974647.dotnetreport?exp=ubp8&tab=Overview,1,5,4,5.0
data.world,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/datadotworld.datadotworld?exp=ubp8&tab=Overview,2,10,8,5.0
iFinder Enterprise Search,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/intrafindag1594300036498.ifinder?exp=ubp8&tab=Overview,3,13,10,4.3
Synerise AI Growth Cloud,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/synerise.saigc?exp=ubp8&tab=Overview,3,12,9,4.0
Golang on Ubuntu18.04LTS,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/apps-4-rent.golang-on-ubuntu18?exp=ubp8&tab=Overview,1,3,2,3.0
VaultSpeed,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/vaultspeednv1623916156161.vaultspeed-azure-marketpalce?exp=ubp8&tab=Overview,1,3,2,3.0
Sinequa Search Cloud Platform,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/sinequa.sinequa_macc_enabled?exp=ubp8&tab=Overview,1,3,2,3.0
Bizom,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/mobisy.bizom?exp=ubp8&tab=Overview,5,15,10,3.0
Sinequa for Azure,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/sinequa.sinequa_for_azure_contact_me?exp=ubp8&tab=Overview,1,3,2,3.0
Blue Prism Intelligent Automation,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/blueprismlimited-4827145.blueprism?exp=ubp8&tab=Overview,1,3,2,3.0
Azure AI Content Safety,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/Microsoft.CognitiveServicesContentSafety?exp=ubp8&tab=Overview,1,3,2,3.0
EcoVadis Sustainability Ratings,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/ecovadis1578946401678.ecovadis_sustainability_ratings_api_integration?exp=ubp8&tab=Overview,11,32,21,2.9
ToolsGroup Service Optimizer 99+ (SO99+),https://azuremarketplace.microsoft.com/en-us/marketplace/apps/toolsgroup.toolsgroup-so99?exp=ubp8&tab=Overview,18,49,31,2.7
EcoVadis Business Sustainability Ratings,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/ecovadis1578946401678.ecovadis-rating?exp=ubp8&tab=Overview,13,34,21,2.6
impress.ai,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/ideatorypteltdimpress1609301500165.impress_basic?exp=ubp8&tab=Overview,2,5,3,2.5
365Talents - Talent Experience powered by AI,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/365talents.365talents_skills_management?exp=ubp8&tab=Overview,26,65,39,2.5
Zscaler Digital Experience,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/zscaler1579058425289.zdx?exp=ubp8&tab=Overview,18,43,25,2.4
Datarails,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/datarails.datarails?exp=ubp8&tab=Overview,60,142,82,2.4
Azure OpenAI,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/Microsoft.CognitiveServicesOpenAI?exp=ubp8&tab=Overview,60,145,85,2.4
ClickCompliance,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/clickcompliance.clickcompliance?exp=ubp8&tab=Overview,3,7,4,2.3
Hyperview - Cloud-based DCIM Software,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/hyperviewtechnologiesinc1592511925982.hv50-plan?exp=ubp8&tab=Overview,8,18,10,2.3
Eggplant Digital Automation Intelligence,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/eggplant.eggplant_dai1?exp=ubp8&tab=Overview,42,95,53,2.3
StreamSets Data Collector,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/streamsets.streamsets-data-collector?exp=ubp8&tab=Overview,46,100,54,2.2
Teradata Vantage (DIY),https://azuremarketplace.microsoft.com/en-us/marketplace/apps/teradata.vantage-teradata-database-template?exp=ubp8&tab=Overview,134,279,145,2.1
Domino Data Lab for Azure,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/dominodatalab.domino-azure?exp=ubp8&tab=Overview,11,23,12,2.1
Composable,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/composable.composable?exp=ubp8&tab=Overview,10,21,11,2.1
"Teradata Vantage (DIY, IntelliSphere)",https://azuremarketplace.microsoft.com/en-us/marketplace/apps/teradata.vantage-teradata-database-intellisphere-template?exp=ubp8&tab=Overview,134,279,145,2.1
Teradata Vantage on Azure (International),https://azuremarketplace.microsoft.com/en-us/marketplace/apps/teradatainternationalsaleslimiteds1597360184313.teradata-vantage-aas-international?exp=ubp8&tab=Overview,134,278,144,2.1
Ruby on Ubuntu20.04LTS,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/apps-4-rent.ruby-on-ubuntu20?exp=ubp8&tab=Overview,1,2,1,2.0
Talview Video Interviewing,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/talview.tv_interviewing?exp=ubp8&tab=Overview,33,65,32,2.0
Talview Video Interviewing,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/talview.tv_interviewing?exp=ubp8&tab=Overview,33,65,32,2.0
Matillion ETL,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/matillion.matillion-solution-template?exp=ubp8&tab=Overview,36,72,36,2.0
Apache Spark on Ubuntu 18.04,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/apps-4-rent.apache-spark-on-ubuntu1804?exp=ubp8&tab=Overview,1,2,1,2.0
HCL Accelerate on Azure,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/hcl-technologies.hcl_devops_accelerate_app?exp=ubp8&tab=Overview,1,2,1,2.0
Chatlayer.ai,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/chatlayerai1582731604769.chatlayerai?exp=ubp8&tab=Overview,1,2,1,2.0
Talview Behavioral Insights,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/talview-5044333.talview_behaviour_insights?exp=ubp8&tab=Overview,33,65,32,2.0
Talview Remote Proctoring,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/talview-5044333.talview_remote_proctoring?exp=ubp8&tab=Overview,33,65,32,2.0
AnyVision,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/anyvisioninteractivetechnologies.anyvision?exp=ubp8&tab=Overview,1,2,1,2.0
Fractal RTM,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/fractal.fractalrtm?exp=ubp8&tab=Overview,2,4,2,2.0
novisto_software,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/novisto1586884908995.novisto?exp=ubp8&tab=Overview,3,6,3,2.0
TrendMiner,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/softwareagusainc.trendminer?exp=ubp8&tab=Overview,69,141,72,2.0
erwin Data Intelligence,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/erwininc.erwin_di?exp=ubp8&tab=Overview,1,2,1,2.0
TrueCue Platform,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/concentra.truecue-platform?exp=ubp8&tab=Overview,1,2,1,2.0
Elasticsearch on Windows Server 2022,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/apps-4-rent.elasticsearch-on-win2022?exp=ubp8&tab=Overview,1,2,1,2.0
Alluvio NetProfiler,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/riverbed.netprofiler?exp=ubp8&tab=Overview,1,2,1,2.0
Contiamo Datahub,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/contiamogmbh.contiamo?exp=ubp8&tab=Overview,1,2,1,2.0
Governance Toolkit 365,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/atwork.governancetoolkit365?exp=ubp8&tab=Overview,1,2,1,2.0
Talview Live Proctoring,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/talview.talview_live_proctoring?exp=ubp8&tab=Overview,33,65,32,2.0
KETL,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/ketlsrl1635149456452.ketl?exp=ubp8&tab=Overview,1,2,1,2.0
Zap Automation,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/zappyailimited1596269789053.zappy_ai-offer?exp=ubp8&tab=Overview,1,2,1,2.0
Matillion Data Productivity Cloud,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/matillion.matillion-etl-billing?exp=ubp8&tab=Overview,36,72,36,2.0
Talview Video Interviewing,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/talview.tv02187?exp=ubp8&tab=Overview,33,65,32,2.0
Talview Video Interviewing,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/talview.tv02187?exp=ubp8&tab=Overview,33,65,32,2.0
Azure DSVM for PyTorch,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/microsoft-dsvm.acpt-vm?exp=ubp8&tab=Overview,1,2,1,2.0
SearchUnify - Unified Cognitive Platform,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/grazittiinteractive1579237688624.searchunify_enterprise?exp=ubp8&tab=Overview,35,66,31,1.9
Bunifu Framework - Visual Studio .NET UI tools,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/bunifutechnologiesltd.bunifudevtools?exp=ubp8&tab=Overview,9,17,8,1.9
Cloud FastPath,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/cloud-fastpath.a9596bbd-78f0-4514-84d1-82f6ff0992fd?exp=ubp8&tab=Overview,9,17,8,1.9
Cloud Fastpath,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/tervelainc-4740521.cloudfastpath?exp=ubp8&tab=Overview,9,17,8,1.9
IBM OpenPages with Watson,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/ibm-usa-ny-armonk-hq-6275750-ibmcloud-asperia.ibm-cloud-pak-for-data-openpages?exp=ubp8&tab=Overview,28,51,23,1.8
FortiAnalyzer Centralized Log Analytics,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/fortinet.fortianalyzer?exp=ubp8&tab=Overview,16,28,12,1.8
Nexthink Experience,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/nexthink.nexthink_cloud_edition?exp=ubp8&tab=Overview,126,233,107,1.8
Nexthink,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/nexthink.nexthink?exp=ubp8&tab=Overview,126,233,107,1.8
Voyado,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/revide-2109359.voyado?exp=ubp8&tab=Overview,15,27,12,1.8
1000minds Decision-Making,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/1000mindslimited1623888531346.1000minds-dm?exp=ubp8&tab=Overview,16,29,13,1.8
Basware Procurement,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/baswareoyj.procurement?exp=ubp8&tab=Overview,60,109,49,1.8
Aiven for Apache Kafka,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/aivenltd1590663507662.aiven_kafka?exp=ubp8&tab=Overview,110,187,77,1.7
WhereScape® RED automation software,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/wherescapesoftware.wherescape-red?exp=ubp8&tab=Overview,23,40,17,1.7
Cisco Cloud Services Router (CSR) 1000V,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/cisco.cisco-csr-1000v?exp=ubp8&tab=Overview,21,35,14,1.7
ArcGIS Image,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/esri.arcgis-image?exp=ubp8&tab=Overview,7,11,4,1.6
TigerGraph Cloud,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/tigergraph.tigergraph-cloud?exp=ubp8&tab=Overview,5,8,3,1.6
TIBCO EBX,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/tibco-software.tibco-ebx?exp=ubp8&tab=Overview,41,66,25,1.6
CloudAtlas Supervisor,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/unify-cloud-llc.cloudsupervisorazure?exp=ubp8&tab=Overview,7,11,4,1.6
@RISK,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/palisadecorp1610462250663.at_risk?exp=ubp8&tab=Overview,7,11,4,1.6
Safetica ONE,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/safetica_technologies.safetica_dlp?exp=ubp8&tab=Overview,69,107,38,1.6
ElectroNeek RPA,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/electroneekrobotic1581669111204.electroneek_platform?exp=ubp8&tab=Overview,79,125,46,1.6
ElectroNeek RPA,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/electroneekrobotic1581669111204.electroneek_platform?exp=ubp8&tab=Overview,79,125,46,1.6
ElectroNeek RPA,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/electroneekrobotic1581669111204.electroneek_rpa?exp=ubp8&tab=Overview,79,125,46,1.6
ElectroNeek RPA,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/electroneekrobotic1581669111204.electroneek_rpa?exp=ubp8&tab=Overview,79,125,46,1.6
RStudio on Ubuntu18.04LTS,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/apps-4-rent.rstudio-on-ubuntu18?exp=ubp8&tab=Overview,2,3,1,1.5
TimeXtender,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/timextender.timextender?exp=ubp8&tab=Overview,59,88,29,1.5
Power BI Embedded,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/Microsoft.PowerBIDedicated?exp=ubp8&tab=Overview,115,167,52,1.5
MiHCM Analytics,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/microimageprivatelimited-4916760.mihcm_analytics?exp=ubp8&tab=Overview,2,3,1,1.5
Postgresql on Centos7,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/apps-4-rent.postgresql-on-centos7?exp=ubp8&tab=Overview,2,3,1,1.5
TimeXtender® Application Server,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/timextender.timextender_disocveryhub_vm?exp=ubp8&tab=Overview,59,88,29,1.5
process.science Process Mining,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/processsciencegmbhcokg1590595423984.processsciencewebapp?exp=ubp8&tab=Overview,2,3,1,1.5
ProScheduler WFM,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/loxysoft.proscheduler?exp=ubp8&tab=Overview,2,3,1,1.5
MiHCM Enterprise,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/microimageprivatelimited-4916760.microimagehcmcloud?exp=ubp8&tab=Overview,2,3,1,1.5
Mphasis CG,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/mphasis.mphasis_cg?exp=ubp8&tab=Overview,2,3,1,1.5
SearchBlox Enterprise Search,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/searchbloxsoftwareinc1594309037050.searchblox-enterprise-search?exp=ubp8&tab=Overview,2,3,1,1.5
EcoStruxure Resource Advisor,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/869296.ecostruxure_resource_advisor?exp=ubp8&tab=Overview,2,3,1,1.5
MiHCM Lite,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/microimageprivatelimited-4916760.mihcm_for_smb?exp=ubp8&tab=Overview,2,3,1,1.5
Business Central UAE localized Payroll and HRMS,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/squareinternationaltechnologyconsultingdmcc.businesscentral_hrms_payroll?exp=ubp8&tab=Overview,2,3,1,1.5
Akenza IoT Platform,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/hivemindag.akenza_core?exp=ubp8&tab=Overview,4,6,2,1.5
ASC Recording Insights,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/asctechnologiesag.asc_recordinginsights?exp=ubp8&tab=Overview,2,3,1,1.5
Squirrel Cloud POS,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/squirrelsystems.squirrelcloudpos?exp=ubp8&tab=Overview,24,36,12,1.5
AppScale,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/appscale-marketplace.appscale?exp=ubp8&tab=Overview,6,9,3,1.5
Phonex One,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/mindcti.phonexone?exp=ubp8&tab=Overview,2,3,1,1.5
DataStax Enterprise,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/datastax.datastax-dse-azure?exp=ubp8&tab=Overview,13,20,7,1.5
Fortinet FortiSIEM - SIEM & Analytics,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/fortinet.fortinet-fortisiem-vm?exp=ubp8&tab=Overview,25,38,13,1.5
Augury Machine Health,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/auguryinc1612988011558.halo?exp=ubp8&tab=Overview,2,3,1,1.5
Language service,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/Microsoft.CognitiveServicesTextAnalytics?exp=ubp8&tab=Overview,2,3,1,1.5
OverOps for Azure,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/overops.overops?exp=ubp8&tab=Overview,9,13,4,1.4
Onfido Identity Verification Solution,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/onfido-5084500.onfidoidentifycheckingsolution?exp=ubp8&tab=Overview,62,87,25,1.4
Simcenter STAR-CCM+,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/siemensplmsoftware.starccm_on_azure?exp=ubp8&tab=Overview,92,128,36,1.4
Feedback Cloud,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/odcemtechnologiespvtltd1603256553330.fc112020?exp=ubp8&tab=Overview,7,10,3,1.4
Blue Yonder Workforce Management,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/jdasoftware-global.jda_workforce_management_appsource?exp=ubp8&tab=Overview,9,13,4,1.4
