name,description,url,last_month_stars,this_month_stars,stars_m_m_growth,last_month_multiple
ggml,"
        Tensor library for machine learning
      ",https://github.com/ggerganov/ggml,4500,9700,5200,2.2
PythonNumericalDemos,"
        Well-documented Python demonstrations for spatial data analytics, geostatistical and machine learning to support my courses.
      ",https://github.com/GeostatsGuy/PythonNumericalDemos,625,1300,675,2.1
Machine-Learning-Specialization-Coursera,"
         Contains Solutions and Notes for the Machine Learning Specialization By Stanford University and Deeplearning.ai - Coursera (2022) by Prof. Andrew NG
      ",https://github.com/greyhatguy007/Machine-Learning-Specialization-Coursera,1300,2700,1400,2.1
Book7_Visualizations-for-Machine-Learning,"
        Book_7_《机器学习》 | 鸢尾花书：从加减乘除到机器学习；欢迎批评指正
      ",https://github.com/Visualize-ML/Book7_Visualizations-for-Machine-Learning,840,1800,960,2.1
skypilot,"
        SkyPilot: Run LLMs, AI, and Batch jobs on any cloud. Get maximum savings, highest GPU availability, and managed execution—all with a simple interface.
      ",https://github.com/skypilot-org/skypilot,2800,5600,2800,2.0
ml-course,"
        Open Machine Learning course
      ",https://github.com/girafe-ai/ml-course,1100,2000,900,1.8
jetson-containers,"
        Machine Learning Containers for NVIDIA Jetson and JetPack-L4T
      ",https://github.com/dusty-nv/jetson-containers,931,1700,769,1.8
SHARK,"
        SHARK - High Performance Machine Learning Distribution
      ",https://github.com/nod-ai/SHARK,836,1400,564,1.7
prml,"
        Repository of notes, code and notebooks in Python for the book Pattern Recognition and Machine Learning by Christopher Bishop
      ",https://github.com/gerdm/prml,1200,1900,700,1.6
ManimML,"
        ManimML is a project focused on providing animations and visualizations of common machine learning concepts with the Manim Community Library.
      ",https://github.com/helblazer811/ManimML,1300,2100,800,1.6
cs229-2018-autumn,"
        All notes and materials for the CS229: Machine Learning course by Stanford University
      ",https://github.com/maxim5/cs229-2018-autumn,874,1400,526,1.6
watermark-removal,"
        a machine learning image inpainting task that instinctively removes watermarks from image indistinguishable from the ground truth image 
      ",https://github.com/zuruoke/watermark-removal,1000,1600,600,1.6
Machine-Learning-Interviews,"
        This repo is meant to serve as a guide for Machine Learning/AI technical interviews. 
      ",https://github.com/alirezadir/Machine-Learning-Interviews,2000,3300,1300,1.6
Awesome-Federated-Machine-Learning,"
        Everything about federated learning, including research papers, books, codes, tutorials, videos and beyond
      ",https://github.com/innovation-cat/Awesome-Federated-Machine-Learning,1000,1600,600,1.6
gradio,"
        Build and share delightful machine learning apps, all in Python. 🌟 Star to support our work!
      ",https://github.com/gradio-app/gradio,19100,28800,9700,1.5
pybroker,"
        Algorithmic Trading in Python with Machine Learning
      ",https://github.com/edtechre/pybroker,1100,1600,500,1.5
secretflow,"
        A unified framework for privacy-preserving data analysis and machine learning
      ",https://github.com/secretflow/secretflow,1500,2200,700,1.5
cog,"
        Containers for machine learning
      ",https://github.com/replicate/cog,5000,7100,2100,1.4
FedML,"
        FEDML - The unified and scalable ML library for large-scale distributed training, model serving, and federated learning. FEDML Launch, a cross-cloud scheduler, further enables running any AI jobs on any GPU cloud or on-premise cluster. Built on this library, FEDML Nexus AI (",https://github.com/FedML-AI/FedML,3000,4100,1100,1.4
grobid,"
        A machine learning software for extracting information from scholarly documents
      ",https://github.com/kermitt2/grobid,2200,3100,900,1.4
awesome-ml4co,"
        Awesome machine learning for combinatorial optimization papers.
      ",https://github.com/Thinklab-SJTU/awesome-ml4co,1100,1500,400,1.4
machine-learning-book,"
        Code Repository for Machine Learning with PyTorch and Scikit-Learn
      ",https://github.com/rasbt/machine-learning-book,2000,2900,900,1.4
machine-learning-articles,"
        🧠💬 Articles I wrote about machine learning, archived from MachineCurve.com.
      ",https://github.com/christianversloot/machine-learning-articles,2200,3100,900,1.4
