name,description,url,last_month_installs,this_month_installs,installs_m_m_growth,last_month_multiple
Zoom for Google Workspace™,"Use Zoom to easily schedule, join, manage, and customize meetings from Gmail and Google Calendar.",https://workspace.google.com/marketplace/app/zoom_for_google_workspace/364750910244,8,9460,9452,1182.5
Zoom for Gmail,"Meet happy with flawless video, clear audio, and easy content sharing directly from Zoom for Gmail!",https://workspace.google.com/marketplace/app/zoom_for_gmail/585972765488,8,5449,5441,681.1
Table of contents,Table of contents,https://workspace.google.com/marketplace/app/table_of_contents/975727178255,6,3468,3462,578.0
Form Builder,"Build your Google Form by importing from Forms, Sheets, Docs, Slides, PDFs, MS Word/ Powerpoint, Images, etc.",https://workspace.google.com/marketplace/app/form_builder/133781775166,31,6082,6051,196.2
Yet Another Mail Merge: Mail Merge for Gmail,Send mass personalized emails with your Gmail™. Track each email in real-time from Sheets™.,https://workspace.google.com/marketplace/app/yet_another_mail_merge_mail_merge_for_gm/52669349336,170,18111,17941,106.5
Mailtrack & Mail Merge for Gmail™,"Mailtracker & Mail Merge for Gmail™ web, iOS and Android. Mailtrack is a email marketing tool with Campaigns, Mail Merge and PDF document tracking from Gmail™ with over 2 million active users.",https://workspace.google.com/marketplace/app/mailtrack_mail_merge_for_gmail/129668302705,151,15220,15069,100.8
Sortd for Gmail™,"EMAIL REINVENTED FOR TEAMS & SHARED MAILBOXES info@, sales@, support@, orders@ ...",https://workspace.google.com/marketplace/app/sortd_for_gmail/197764131182,15,1335,1320,89.0
Form Builder,"Build your Google Form by importing from Forms, Sheets, Docs, Slides, PDFs, MS Word/ Powerpoint, Images, etc.",https://workspace.google.com/marketplace/app/form_builder/133781775166,95,6082,5987,64.0
Table of contents,Table of contents,https://workspace.google.com/marketplace/app/table_of_contents/975727178255,56,3468,3412,61.9
Form Builder,"Build your Google Form by importing from Forms, Sheets, Docs, Slides, PDFs, MS Word/ Powerpoint, Images, etc.",https://workspace.google.com/marketplace/app/form_builder/133781775166,125,6082,5957,48.7
SyncWith,"Pull data from anywhere into sheets: Facebook Ads, Google Ads™, Google Analytics™, Shopify, and more",https://workspace.google.com/marketplace/app/syncwith/449644239211,16,626,610,39.1
"MOLE: Yahoo Finance, Stock, Amazon, Crypto Scraper","Yahoo Finance, Stock Market, Amazon, YouTube™, Dividend Data, Stock Price Data, Crypto Price, Facebook, Nasdaq, Binance, Bloomberg - Scrape websites with our MOLE Scraper",https://workspace.google.com/marketplace/app/mole_yahoo_finance_stock_amazon_crypto_s/259679730019,6,176,170,29.3
Form Publisher,"Generate templated documents with Google Forms™. Generate PDF, Google Docs™, Sheets™, Slides™, Microsoft Word, Excel, Powerpoint customized documents. Get them approved and signed.",https://workspace.google.com/marketplace/app/form_publisher/827172627657,170,4224,4054,24.8
Zoho Invoice,"Craft professional invoices and collect payments online without spending a dime. Stay on top of your expenses, handle projects, and gain critical insights with over 30 reports using Zoho Invoice.",https://workspace.google.com/marketplace/app/zoho_invoice/526297669360,7,168,161,24.0
Form Director,"Direct Google Forms™ submission to apps in Google Workspace™, CRM, Accounting, Productivity, Marketing, etc.",https://workspace.google.com/marketplace/app/form_director/824044380012,31,682,651,22.0
Social Insights for GMail™,"Create leads from social media profiles including email address, job title and more while simultaneously integrating LinkedIn, Twitter, Facebook and others.",https://workspace.google.com/marketplace/app/social_insights_for_gmail/398227766523,14,308,294,22.0
Mail Merge with Attachments,"Send personalized emails with Gmail™ Mail Merge. Include different file attachments, schedule emails for sending later, CC and BCC recipients, create drafts, track email opens, clicks, and bounces.",https://workspace.google.com/marketplace/app/mail_merge_with_attachments/223404411203,139,3038,2899,21.9
"Video Uploader for Dropbox, Drive","This app allows you to upload Dropbox, MS OneDrive, Google Drive™ video files to YouTube™ directly.",https://workspace.google.com/marketplace/app/video_uploader_for_dropbox_drive/872238254327,26,566,540,21.8
Form Builder,"Build your Google Form by importing from Forms, Sheets, Docs, Slides, PDFs, MS Word/ Powerpoint, Images, etc.",https://workspace.google.com/marketplace/app/form_builder/133781775166,281,6082,5801,21.6
Streak CRM for G Suite,Streak is the premier G Suite-integrated CRM,https://workspace.google.com/marketplace/app/streak_crm_for_g_suite/800057673271,71,1497,1426,21.1
"Video Uploader for Dropbox, Drive","This app allows you to upload Dropbox, MS OneDrive, Google Drive™ video files to YouTube™ directly.",https://workspace.google.com/marketplace/app/video_uploader_for_dropbox_drive/872238254327,27,566,539,21.0
Zoho Invoice,"Craft professional invoices and collect payments online without spending a dime. Stay on top of your expenses, handle projects, and gain critical insights with over 30 reports using Zoho Invoice.",https://workspace.google.com/marketplace/app/zoho_invoice/526297669360,8,168,160,21.0
Zoho CRM,"Zoho CRM is a flexible cloud-based CRM for your business that helps you attract, retain and delight customers.",https://workspace.google.com/marketplace/app/zoho_crm/469571659015,7,135,128,19.3
Zoho Invoice,"Craft professional invoices and collect payments online without spending a dime. Stay on top of your expenses, handle projects, and gain critical insights with over 30 reports using Zoho Invoice.",https://workspace.google.com/marketplace/app/zoho_invoice/526297669360,9,168,159,18.7
SyncWith,"Pull data from anywhere into sheets: Facebook Ads, Google Ads™, Google Analytics™, Shopify, and more",https://workspace.google.com/marketplace/app/syncwith/449644239211,34,626,592,18.4
Zoho CRM,"Zoho CRM is a flexible cloud-based CRM for your business that helps you attract, retain and delight customers.",https://workspace.google.com/marketplace/app/zoho_crm/469571659015,8,135,127,16.9
Zoho Invoice,"Craft professional invoices and collect payments online without spending a dime. Stay on top of your expenses, handle projects, and gain critical insights with over 30 reports using Zoho Invoice.",https://workspace.google.com/marketplace/app/zoho_invoice/526297669360,11,168,157,15.3
Zoho Invoice,"Craft professional invoices and collect payments online without spending a dime. Stay on top of your expenses, handle projects, and gain critical insights with over 30 reports using Zoho Invoice.",https://workspace.google.com/marketplace/app/zoho_invoice/526297669360,11,168,157,15.3
Zoho Invoice,"Craft professional invoices and collect payments online without spending a dime. Stay on top of your expenses, handle projects, and gain critical insights with over 30 reports using Zoho Invoice.",https://workspace.google.com/marketplace/app/zoho_invoice/526297669360,11,168,157,15.3
Zoho CRM,"Zoho CRM is a flexible cloud-based CRM for your business that helps you attract, retain and delight customers.",https://workspace.google.com/marketplace/app/zoho_crm/469571659015,9,135,126,15.0
Zoho Creator,Create custom apps for all your business needs with very little code. Build once on web and use them across mobile platforms with targeted functionality.,https://workspace.google.com/marketplace/app/zoho_creator/77578066546,7,100,93,14.3
Zoho CRM for Gmail,"Zoho CRM is a flexible cloud-based CRM for your business that helps you attract, retain and delight customers.",https://workspace.google.com/marketplace/app/zoho_crm_for_gmail/490347649391,7,99,92,14.1
Mail Merge with Attachments,"Send personalized emails with Gmail™ Mail Merge. Include different file attachments, schedule emails for sending later, CC and BCC recipients, create drafts, track email opens, clicks, and bounces.",https://workspace.google.com/marketplace/app/mail_merge_with_attachments/223404411203,220,3038,2818,13.8
Salesforce Connector for Gmail,"Integrate your Gmail™, Google Calendar and Salesforce.com CRM in one easy step with virtually nothing to install. Now with full mobile support for the Gmail™ app on iOS and Android!",https://workspace.google.com/marketplace/app/salesforce_connector_for_gmail/1085601474281,14,186,172,13.3
Zoho Creator,Create custom apps for all your business needs with very little code. Build once on web and use them across mobile platforms with targeted functionality.,https://workspace.google.com/marketplace/app/zoho_creator/77578066546,8,100,92,12.5
Zoho CRM for Gmail,"Zoho CRM is a flexible cloud-based CRM for your business that helps you attract, retain and delight customers.",https://workspace.google.com/marketplace/app/zoho_crm_for_gmail/490347649391,8,99,91,12.4
Zoho CRM,"Zoho CRM is a flexible cloud-based CRM for your business that helps you attract, retain and delight customers.",https://workspace.google.com/marketplace/app/zoho_crm/469571659015,11,135,124,12.3
Zoho CRM,"Zoho CRM is a flexible cloud-based CRM for your business that helps you attract, retain and delight customers.",https://workspace.google.com/marketplace/app/zoho_crm/469571659015,11,135,124,12.3
Zoho CRM,"Zoho CRM is a flexible cloud-based CRM for your business that helps you attract, retain and delight customers.",https://workspace.google.com/marketplace/app/zoho_crm/469571659015,11,135,124,12.3
