name,description,url,last_month_installs,this_month_installs,installs_m_m_growth,last_month_multiple
Python Debugger,Python Debugger extension using debugpy.,https://marketplace.visualstudio.com/items?itemName=ms-python.debugpy,12605,26278370,26265765,2084.8
Fitten Code: Faster and Better AI Assistant,Super Fast and accurate AI Powered Automatic Code Generation and Completion for Multiple Languages.,https://marketplace.visualstudio.com/items?itemName=FittenTech.Fitten-Code,53,76363,76310,1440.8
Image Manager,"压缩、裁剪、转换格式和预览图片的vscode插件 | Compress, crop, convert format and preview images in vscode",https://marketplace.visualstudio.com/items?itemName=minko.image-manager,2,959,957,479.5
CAC Inicial,Paquete de extensiones base usados en el curso de codo a codo inicial,https://marketplace.visualstudio.com/items?itemName=bue-cac-inicial.cac-inicial,4,480,476,120.0
Peripheral Inspector,Standalone Peripheral Inspector extension extracted from cortex-debug,https://marketplace.visualstudio.com/items?itemName=eclipse-cdt.peripheral-inspector,309,23372,23063,75.6
AI-assisted development,Allows you to use the artificial intelligence language model 'GigaChat' to continue your code.,https://marketplace.visualstudio.com/items?itemName=avrgr.ai-dvm,3,173,170,57.7
Vim Keymaps,Vim Keymaps for VSCode,https://marketplace.visualstudio.com/items?itemName=schillermann.vim-keymaps,3,141,138,47.0
Memory Inspector,A set of widgets for viewing memory in different ways,https://marketplace.visualstudio.com/items?itemName=eclipse-cdt.memory-inspector,472,22100,21628,46.8
C++ TAEFMate,"Run TAEF, GoogleTest, Catch2 and DOCtest tests from VSCode",https://marketplace.visualstudio.com/items?itemName=dpar39.vscode-taef-test-adapter,6,254,248,42.3
Ollama Autocoder,A simple to use Ollama autocompletion engine with options exposed and streaming functionality,https://marketplace.visualstudio.com/items?itemName=10nates.ollama-autocoder,176,6988,6812,39.7
Arm Debugger,"Arm Debugger for Arm Cortex-M based microcontrollers (MCUs), development boards and debug probes, implementing the Microsoft Debug Adapter Protocol (DAP)",https://marketplace.visualstudio.com/items?itemName=Arm.arm-debugger,581,20675,20094,35.6
Fex Copilot,Fex AI Buddy,https://marketplace.visualstudio.com/items?itemName=FexCopilot.fexcopilot,19,645,626,33.9
Coding Beauty Assistant,"Save hours with lightning-fast code completions, intuitive AI chatbot, expert human help, and more.",https://marketplace.visualstudio.com/items?itemName=coding-beauty.coding-beauty-assistant,13,395,382,30.4
v0,"A vs-code extension for the infamous v0.dev. Create components using AI right here in your beloved IDE, VSCode!",https://marketplace.visualstudio.com/items?itemName=grayhat.v0,8,242,234,30.3
Extension Auto Installer,Auto install extensions from private sources,https://marketplace.visualstudio.com/items?itemName=yangzhao.auto-installer,5,144,139,28.8
twinny - AI Code Completion and Chat,Locally hosted AI code completion plugin for vscode,https://marketplace.visualstudio.com/items?itemName=rjmacarthy.twinny,351,9648,9297,27.5
Ultimate Hover,"Enhances your hover displays, enriches your data presentation and improves your development workflow.",https://marketplace.visualstudio.com/items?itemName=szpro.ultimatehover,25,682,657,27.3
Cake Tester for Dart & Flutter,Cake test framework support for Dart & Flutter,https://marketplace.visualstudio.com/items?itemName=Polyhedra.cake-dart-flutter-vs,6,144,138,24.0
CodeParrot AI: Figma to Code || Design To Code Copilot,"Code Parrot converts Design to code. Get production ready UI components from Design files, Screenshot to Code. Code Parrot is Copilot for Frontend Development.",https://marketplace.visualstudio.com/items?itemName=CodeParrot-ai.codeParrot,99,2336,2237,23.6
Du I18N 2,vscode国际化多语言解决方案,https://marketplace.visualstudio.com/items?itemName=dewufe.du-i18n-2,12,245,233,20.4
Python Super Debugger Mode,A python extension to debug and trace your scripts or module by injecting print statements whenever an assignment operator is used for update. You see the value update in the flow! Its traditional.,https://marketplace.visualstudio.com/items?itemName=SiddharthVerma.python-super-debugger-mode,362,7380,7018,20.4
Extension Auto Updater,Expose an API to allow VSCode extension get updated with a private link,https://marketplace.visualstudio.com/items?itemName=yangzhao.auto-updater,7,135,128,19.3
ChatGPT & GPT extension - kudos-gpt,Use ChatGPT & GPT right inside VSCode to enhance and automate your coding with AI-powered assistance,https://marketplace.visualstudio.com/items?itemName=AkiraKudo.kudos-gpt,41,774,733,18.9
GetBotAI Code assistant,"GetBotAI is your AI assistant designed to assist developers and software engineers by offering real-time code completion, bug fixes, error identification, code explanation, code optimization, deadlock issue detection, SQL injection reviews, and resource leak identification. It is also available as a",https://marketplace.visualstudio.com/items?itemName=FutureTechNexus.getbotai,415,6639,6224,16.0
Iconify IntelliSense Preview,Intelligent Iconify previewing and searching for VS Code,https://marketplace.visualstudio.com/items?itemName=hunghg255.iconify-preview,12,191,179,15.9
Clay CSV,CSV tools for developers.,https://marketplace.visualstudio.com/items?itemName=omkarmoghe.clay-csv,37,484,447,13.1
KeyRunner - API Client,The Zero Trust API Client,https://marketplace.visualstudio.com/items?itemName=KeyRunner.keyrunner,301,3727,3426,12.4
Parallels Desktop,"Manage Parallels Desktop virtual machines, their snapshots and containers",https://marketplace.visualstudio.com/items?itemName=ParallelsDesktop.parallels-desktop,2256,27201,24945,12.1
AlgoKit AVM Debugger,An extension for debugging AVM transactions and smart contract programs.,https://marketplace.visualstudio.com/items?itemName=AlgorandFoundation.algokit-avm-vscode-debugger,55,590,535,10.7
Unsafe Typescript Highlighter,Visually mark out unsafe Typescript features in your code.,https://marketplace.visualstudio.com/items?itemName=alberto-varela.unsafe-typescript,55,569,514,10.3
Zapy REST Client,The pythonic REST API Client,https://marketplace.visualstudio.com/items?itemName=zapydev.zapy-rest-client,16,157,141,9.8
Llama Coder,Better and self-hosted Github Copilot replacement,https://marketplace.visualstudio.com/items?itemName=ex3ndr.llama-coder,2451,23653,21202,9.7
Azure Quantum Development Kit (QDK),Q# Language Support,https://marketplace.visualstudio.com/items?itemName=quantum.qsharp-lang-vscode,699,6727,6028,9.6
Inline fold image src,"A custom decorator that ""fold"" matching content in single line - preset to fold img src urls in html. ",https://marketplace.visualstudio.com/items?itemName=CubeOfCheese.inline-fold-image-src,34,322,288,9.5
marimo,Run marimo in VSCode,https://marketplace.visualstudio.com/items?itemName=marimo-team.vscode-marimo,181,1636,1455,9.0
Quix AI,"Quix.ai is an intelligent VSCode extension powered by Gemini Pro AI, designed to revolutionize your coding experience.",https://marketplace.visualstudio.com/items?itemName=bhavikagarwal.quixai,47,409,362,8.7
Tailwind Color Matcher,Tailwind Color Matcher: Enhance your VSCode workflow by translating HEX colors to Tailwind CSS classes instantly. Use the color picker for easy class suggestions and management.,https://marketplace.visualstudio.com/items?itemName=OmriGrossman.tailwind-color-matcher,93,766,673,8.2
INWT Python IDE v2,Extension bundle to develop Python applications for Data Science.,https://marketplace.visualstudio.com/items?itemName=inwtlab.inwt-python-ide-v2,15,123,108,8.2
Helix For VS Code,Helix emulation for Visual Studio Code,https://marketplace.visualstudio.com/items?itemName=jasew.vscode-helix-emulation,198,1567,1369,7.9
CodeGPT,"CodeGPT,你的智能编码助手",https://marketplace.visualstudio.com/items?itemName=CSDN.csdn-codegpt,1013,7669,6656,7.6
DAP Inspector,A basic VS Code extension to play with Debug Adapter Protocol (DAP),https://marketplace.visualstudio.com/items?itemName=babakks.vscode-dap-inspector,82,615,533,7.5
AFS VSCoder,AFS VSCoder,https://marketplace.visualstudio.com/items?itemName=TWSC.afs-vscoder,21,156,135,7.4
Freedev,"AI coding assistant: autocompletion, ai chat, natural language codebase search, autonomous coding agents",https://marketplace.visualstudio.com/items?itemName=Freedev-ai.Freedev,62,454,392,7.3
BuildBear,"Create a Testnet that is forked from a range of Ethereum-compatible chains, including Polygon, Arbitrum, Optimism, Fantom, and Binance, at any block number",https://marketplace.visualstudio.com/items?itemName=BuildBear.buildbear,35,257,222,7.3
TASKING winIDEA,Extension for debugging using winIDEA workspaces in Visual Studio Code.,https://marketplace.visualstudio.com/items?itemName=TASKING-winIDEA.TASKING-winIDEA,44,323,279,7.3
BrowserStack,Instantly test your local website on BrowserStack across 3500+ real desktop & mobile browsers directly from VSCode.,https://marketplace.visualstudio.com/items?itemName=browserstackcom.browserstack-vscode,747,5176,4429,6.9
Power BI VSCode Extension Pack,Power BI Extension Pack for VSCode,https://marketplace.visualstudio.com/items?itemName=GerhardBrueckl.powerbi-vscode-extensionpack,332,2248,1916,6.8
dbt Power User (Holidu),This extension makes vscode seamlessly work with dbt,https://marketplace.visualstudio.com/items?itemName=HoliduGmbh.vscode-dbt-power-user-holidu,131,850,719,6.5
Obsidian MD for VSCode,Connect to Obsidian from Visual Studio Code,https://marketplace.visualstudio.com/items?itemName=willasm.obsidian-md-vsc,238,1514,1276,6.4
Rainforest Application Security,Extension to show vulnerabilities in your code and how to fix them,https://marketplace.visualstudio.com/items?itemName=rainforest-tech.rainforest-tech,60,369,309,6.2
Specmatic,A rich interactive UI to make developer experience for Contract Driven Development using Specmatic even more seamless.,https://marketplace.visualstudio.com/items?itemName=Specmatic.specmatic-vscode-extension,32,196,164,6.1
Toolbar,Add custom buttons instead of commands. Markdown toolbar is built-in. ,https://marketplace.visualstudio.com/items?itemName=XiLaiTL.vscode-toolbar,46,281,235,6.1
PDF COS syntax,PDF and FDF COS syntax extension for PDF developers interested in learning PDF as a page description language syntax,https://marketplace.visualstudio.com/items?itemName=pdfassociation.pdf-cos-syntax,397,2306,1909,5.8
Pedagogical,Real-time visualization of your program's debug state,https://marketplace.visualstudio.com/items?itemName=ksu-alt-cs.pedagogical,29,165,136,5.7
DFMaster,This is a vscode extension that reads files into DataFrame/tables.,https://marketplace.visualstudio.com/items?itemName=CrispenGari.DFMaster,22,126,104,5.7
